num,v,value,solution_path,time
40,6,397.5932721265143,"Any[(1, 6), (1, 28), (2, 10), (2, 40), (3, 4), (3, 21), (4, 24), (5, 22), (5, 33), (6, 18), (7, 18), (7, 39), (8, 26), (8, 36), (9, 28), (9, 38), (10, 21), (11, 15), (11, 40), (12, 14), (12, 17), (13, 25), (13, 33), (14, 19), (15, 32), (16, 26), (16, 39), (17, 31), (19, 37), (20, 23), (20, 29), (22, 35), (23, 30), (24, 31), (25, 38), (27, 32), (27, 34), (29, 36), (30, 37), (34, 35)]",0.10100007057189941
40,7,421.69520481454674,"Any[(1, 2), (1, 9), (2, 30), (3, 14), (3, 25), (4, 5), (4, 40), (5, 28), (6, 26), (6, 31), (7, 26), (7, 29), (8, 15), (8, 38), (9, 29), (10, 39), (10, 40), (11, 21), (11, 35), (12, 23), (12, 35), (13, 16), (13, 31), (14, 36), (15, 39), (16, 22), (17, 19), (17, 34), (18, 19), (18, 25), (20, 22), (20, 37), (21, 32), (23, 27), (24, 28), (24, 32), (27, 36), (30, 33), (33, 34), (37, 38)]",0.09200000762939453
40,8,413.51840506692224,"Any[(1, 24), (1, 28), (2, 9), (2, 33), (3, 7), (3, 29), (4, 24), (4, 40), (5, 31), (5, 35), (6, 13), (6, 25), (7, 27), (8, 21), (8, 39), (9, 34), (10, 15), (10, 29), (11, 20), (11, 21), (12, 13), (12, 38), (14, 17), (14, 27), (15, 22), (16, 37), (16, 38), (17, 30), (18, 20), (18, 36), (19, 30), (19, 40), (22, 31), (23, 32), (23, 37), (25, 39), (26, 35), (26, 36), (28, 33), (32, 34)]",0.06599998474121094
40,9,419.33930909768907,"Any[(1, 17), (1, 39), (2, 20), (2, 26), (3, 6), (3, 17), (4, 29), (4, 37), (5, 23), (5, 24), (6, 28), (7, 27), (7, 28), (8, 19), (8, 27), (9, 11), (9, 40), (10, 13), (10, 33), (11, 35), (12, 21), (12, 22), (13, 23), (14, 32), (14, 36), (15, 18), (15, 19), (16, 20), (16, 34), (18, 30), (21, 33), (22, 32), (24, 38), (25, 35), (25, 39), (26, 31), (29, 38), (30, 36), (31, 37), (34, 40)]",0.24000000953674316
40,10,418.53228229740137,"Any[(1, 8), (1, 24), (2, 8), (2, 20), (3, 12), (3, 30), (4, 17), (4, 19), (5, 28), (5, 29), (6, 13), (6, 33), (7, 14), (7, 39), (9, 23), (9, 32), (10, 30), (10, 38), (11, 27), (11, 37), (12, 36), (13, 25), (14, 26), (15, 21), (15, 22), (16, 25), (16, 40), (17, 37), (18, 39), (18, 40), (19, 31), (20, 27), (21, 31), (22, 32), (23, 38), (24, 34), (26, 29), (28, 36), (33, 35), (34, 35)]",0.34800004959106445
45,1,512.0058962354203,"Any[(1, 10), (1, 35), (2, 17), (2, 33), (3, 25), (3, 29), (4, 39), (4, 41), (5, 18), (5, 44), (6, 33), (6, 45), (7, 10), (7, 42), (8, 19), (8, 40), (9, 17), (11, 16), (11, 24), (12, 14), (12, 23), (13, 32), (13, 43), (14, 28), (15, 16), (15, 42), (18, 36), (19, 34), (20, 27), (20, 37), (21, 23), (21, 31), (22, 32), (22, 44), (24, 29), (26, 27), (26, 45), (28, 36), (30, 35), (30, 41), (31, 40), (34, 38), (37, 38), (39, 43)]",0.30500006675720215
45,2,501.72653687062063,"Any[(1, 8), (1, 11), (2, 7), (2, 11), (3, 13), (3, 18), (4, 16), (4, 19), (5, 9), (5, 45), (6, 7), (6, 21), (8, 24), (9, 38), (10, 34), (10, 42), (12, 31), (12, 36), (13, 41), (14, 30), (14, 43), (15, 25), (15, 44), (16, 23), (17, 43), (17, 44), (18, 45), (19, 36), (20, 29), (20, 32), (21, 26), (22, 33), (22, 37), (23, 26), (24, 27), (25, 39), (27, 41), (28, 35), (28, 42), (29, 40), (30, 34), (31, 37), (32, 35), (33, 40), (38, 39)]",0.1269998550415039
45,3,550.5684292390538,"Any[(1, 14), (2, 20), (2, 45), (3, 34), (3, 43), (4, 17), (4, 32), (5, 30), (6, 13), (7, 31), (7, 35), (8, 17), (8, 20), (9, 13), (9, 37), (10, 16), (11, 41), (11, 42), (12, 14), (15, 19), (15, 23), (18, 22), (19, 27), (21, 26), (21, 29), (23, 38), (25, 37), (25, 44), (26, 42), (27, 39), (28, 38), (29, 33), (30, 40), (31, 32), (33, 44), (34, 45), (35, 36), (41, 43)]",0.315000057220459
45,4,447.0532402227745,"Any[(1, 14), (1, 39), (2, 15), (2, 27), (3, 17), (3, 42), (4, 38), (4, 44), (5, 25), (5, 37), (6, 10), (6, 20), (7, 27), (7, 33), (8, 16), (8, 39), (9, 18), (9, 21), (10, 21), (11, 26), (11, 45), (12, 37), (12, 40), (13, 14), (13, 45), (15, 31), (16, 35), (17, 22), (18, 23), (19, 26), (19, 28), (20, 36), (22, 24), (23, 35), (24, 41), (25, 34), (28, 41), (29, 38), (29, 43), (30, 32), (30, 34), (31, 40), (32, 43), (33, 36), (42, 44)]",0.03699994087219238
45,5,506.5325834525217,"Any[(1, 2), (1, 14), (2, 11), (3, 5), (3, 32), (4, 28), (4, 36), (5, 15), (6, 25), (6, 30), (7, 37), (9, 11), (9, 17), (10, 23), (10, 40), (12, 35), (12, 38), (13, 27), (15, 44), (16, 39), (17, 43), (18, 22), (18, 30), (20, 21), (21, 31), (23, 33), (24, 28), (24, 42), (25, 34), (26, 45), (27, 34), (29, 37), (29, 40), (33, 42), (35, 41), (38, 44), (41, 43)]",0.09500002861022949
